0.81	0.33
0.59	0.34
0.32	0.34
0.13	0.35
1.32	0.31
0.53	0.29
1.45	0.28
1.93	0.29
1.75	0.31
0.35	0.32
0.86	0.32
1.15	0.32
0.50	0.33
0.83	0.34
0.53	0.36
1.59	0.38
0.18	0.35
2.26	0.31
2.01	0.30
0.66	0.28
1.14	0.28
2.32	0.30
0.99	0.33
0.86	0.33
0.56	0.33
0.63	0.33
0.22	0.33
0.63	0.34
1.47	0.36
0.71	0.31
0.82	0.28
1.84	0.29
1.93	0.31
0.69	0.31
0.80	0.31
1.07	0.31
0.91	0.31
0.91	0.31
0.60	0.31
0.31	0.35
1.19	0.36
0.80	0.32
2.75	0.30
1.93	0.30
1.13	0.30
1.21	0.31
0.58	0.32
0.32	0.32
0.94	0.32
0.61	0.32
0.36	0.32
0.07	0.35
1.18	0.32
2.60	0.31
2.91	0.32
1.81	0.29
1.50	0.32
3.21	0.33
0.71	0.34
0.64	0.35
0.55	0.37
0.90	0.37
0.43	0.38
0.65	0.40
0.66	0.37
0.78	0.31
1.76	0.29
2.51	0.30
0.54	0.31
1.28	0.31
0.83	0.31
0.61	0.32
1.03	0.34
0.23	0.34
0.78	0.35
0.35	0.38
1.13	0.36
2.38	0.33
1.76	0.31
2.14	0.31
0.70	0.31
0.78	0.30
0.87	0.30
0.97	0.30
0.98	0.31
0.58	0.31
1.20	0.31
0.43	0.35
0.97	0.34
2.14	0.31
1.70	0.30
2.50	0.30
1.58	0.31
1.38	0.32
1.02	0.33
0.75	0.33
0.75	0.33
0.52	0.33
0.39	0.33
0.83	0.36
2.10	0.37
3.39	0.36
2.91	0.34
2.13	0.32
1.04	0.31
1.12	0.31
1.34	0.31
0.30	0.35
0.59	0.35
0.26	0.35
0.51	0.35
0.25	0.36
1.47	0.34
1.12	0.31
1.83	0.29
1.04	0.28
0.78	0.28
1.55	0.30
1.97	0.30
0.96	0.30
0.73	0.30
0.55	0.30
0.36	0.31
0.32	0.36
0.75	0.34
1.56	0.31
1.42	0.29
3.41	0.30
1.36	0.32
1.48	0.32
1.45	0.32
0.84	0.32
0.48	0.32
0.79	0.33
0.56	0.33
0.27	0.37
1.07	0.34
3.39	0.33
2.81	0.32
1.26	0.29
1.63	0.30
1.82	0.32
0.93	0.33
0.94	0.33
0.62	0.33
0.78	0.33
0.77	0.36
0.34	0.39
1.22	0.37
1.53	0.33
1.05	0.30
1.50	0.29
2.23	0.31
0.51	0.33
0.77	0.33
0.22	0.33
0.24	0.33
0.78	0.34
0.31	0.35
1.06	0.34
1.23	0.34
0.77	0.30
2.08	0.29
2.43	0.32
0.86	0.31
0.65	0.31
1.50	0.31
0.94	0.31
0.51	0.31
0.62	0.31
0.61	0.33
1.04	0.37
1.40	0.35
0.82	0.30
1.37	0.28
1.01	0.28
1.98	0.29
1.34	0.31
0.39	0.31
0.31	0.31
0.19	0.32
0.80	0.32
0.61	0.32
0.42	0.34
0.21	0.32
1.85	0.29
1.30	0.29
2.24	0.30
0.49	0.30
0.56	0.30
1.24	0.30
0.67	0.30
0.36	0.30
0.47	0.30
0.88	0.30
0.35	0.34
0.48	0.33
1.56	0.30
2.07	0.30
1.84	0.30
3.24	0.32
1.95	0.35
0.40	0.36
0.39	0.35
0.77	0.35
0.30	0.36
0.26	0.37
0.25	0.37
0.90	0.35
2.36	0.33
2.13	0.30
